SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,Yahoo Ticker,Sector,Industry
CRAMC,Canara Robeco Asset Management Company Limited,EQ,16-Oct-25,10,1,INE218I01013,10,CRAMC.NS,Financial Services,Asset Management
CREATIVEYE,Creative Eye Limited,EQ,20-Dec-00,5,1,INE230B01021,5,CREATIVEYE.NS,Communication Services,Entertainment
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-Aug-18,10,1,INE741K01010,10,CREDITACC.NS,Financial Services,Credit Services
CREST,Crest Ventures Limited,EQ,27-Dec-06,10,1,INE559D01011,10,CREST.NS,Financial Services,Financial Conglomerates
CRISIL,CRISIL Limited,EQ,28-Jun-95,1,1,INE007A01025,1,CRISIL.NS,Financial Services,Financial Data & Stock Exchanges
CRIZAC,Crizac Limited,EQ,09-Jul-25,2,1,INE0S4R01014,2,CRIZAC.NS,Consumer Defensive,Education & Training Services
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-May-16,2,1,INE299U01018,2,CROMPTON.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CROWN,Crown Lifters Limited,EQ,08-Feb-22,10,1,INE491V01019,10,CROWN.NS,Industrials,Rental & Leasing Services
CSBBANK,CSB Bank Limited,EQ,04-Dec-19,10,1,INE679A01013,10,CSBBANK.NS,Financial Services,Banks - Regional
CSLFINANCE,CSL Finance Limited,EQ,21-Jul-22,10,1,INE718F01018,10,CSLFINANCE.NS,Financial Services,Credit Services
CTE,Cambridge Technology Enterprises Limited,EQ,07-Feb-07,10,1,INE627H01017,10,CTE.NS,Technology,Information Technology Services
CUB,City Union Bank Limited,EQ,25-Aug-98,1,1,INE491A01021,1,CUB.NS,Financial Services,Banks - Regional
CUBEXTUB,Cubex Tubings Limited,EQ,24-Apr-96,10,1,INE144D01012,10,CUBEXTUB.NS,Basic Materials,Copper
CUMMINSIND,Cummins India Limited,EQ,29-Mar-95,2,1,INE298A01020,2,CUMMINSIND.NS,Industrials,Specialty Industrial Machinery
CUPID,Cupid Limited,EQ,16-Sep-16,1,1,INE509F01029,1,CUPID.NS,Consumer Defensive,Household & Personal Products
CURAA,Cura Technologies Limited,BE,21-Mar-25,10,1,INE117B01020,10,CURAA.NS,Technology,Software - Application
CYBERMEDIA,Cyber Media (India) Limited,BE,10-Jun-05,10,1,INE278G01037,10,CYBERMEDIA.NS,Communication Services,Publishing
CYBERTECH,Cybertech Systems And Software Limited,EQ,27-Jan-99,10,1,INE214A01019,10,CYBERTECH.NS,Technology,Information Technology Services
CYIENT,Cyient Limited,EQ,30-Sep-98,5,1,INE136B01020,5,CYIENT.NS,Industrials,Conglomerates
CYIENTDLM,Cyient DLM Limited,EQ,10-Jul-23,10,1,INE055S01018,10,CYIENTDLM.NS,Technology,Electronic Components
DABUR,Dabur India Limited,EQ,28-Apr-99,1,1,INE016A01026,1,DABUR.NS,Consumer Defensive,Household & Personal Products
DAICHI,Dai-Ichi Karkaria Limited,EQ,20-Apr-26,10,1,INE928C01010,10,DAICHI.NS,,
DALBHARAT,Dalmia Bharat Limited,EQ,22-Jan-19,2,1,INE00R701025,2,DALBHARAT.NS,Basic Materials,Building Materials
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-Jan-96,2,1,INE495A01022,2,DALMIASUG.NS,Consumer Defensive,Confectioners
